y,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0,"1.516,00000","937,00000","6.440,00000","1,00000","27,00000","69,00000","452,00000","38,00000","1.015,00000","40,00000","1.275,00000","30,02591","0,01426","0,00397","0,00671","1,00000","6.033,00000","2,00000","2.036,00000","7.192,00000","0,00106","0,00322","0,00725","0,00249","4.951,00000","9,00000","153,00000","1.425,00000","0,00668","0,00436"
0,"1.237,00000","1.021,00000","6.375,00000","2,00000","26,00000","68,00000","448,00000","37,00000","1.020,00000","39,00000","1.284,00000","16,33224","0,01408","0,00397","0,00670","1,00000","7.760,00000","2,00000","2.016,00000","7.149,00000","0,00106","0,00347","0,00316","0,00481","5.948,00000","9,00000","83,00000","1.270,00000","0,00759","0,00436"
0,"1.696,00000","1.001,00000","5.403,00000","1,00000","19,00000","58,00000","380,00000","29,00000","1.094,00000","31,00000","1.450,00000","26,06130","0,01138","0,00397","0,00664","1,00000","5.086,00000","2,00000","1.715,00000","6.486,00000","0,00117","0,00366","0,00638","0,00410","7.722,00000","9,00000","143,00000","1.209,00000","0,00811","0,00437"
0,"1.756,00000","1.086,00000","6.249,00000","2,00000","25,00000","67,00000","439,00000","36,00000","1.028,00000","38,00000","1.303,00000","17,28406","0,01372","0,00397","0,00670","1,00000","3.796,00000","2,00000","1.977,00000","7.066,00000","0,00107","0,00424","0,00359","0,00444","8.104,00000","10,00000","110,00000","1.525,00000","0,00616","0,00446"
0,"1.779,00000","967,00000","5.484,00000","1,00000","19,00000","59,00000","385,00000","30,00000","1.087,00000","31,00000","1.434,00000","20,48547","0,01160","0,00397","0,00665","1,00000","4.849,00000","2,00000","1.740,00000","6.543,00000","0,00116","0,00438","0,00362","0,00340","9.189,00000","10,00000","168,00000","1.196,00000","0,00803","0,00454"
0,"1.702,00000","990,00000","5.430,00000","1,00000","19,00000","58,00000","382,00000","30,00000","1.092,00000","31,00000","1.445,00000","25,69485","0,01145","0,00397","0,00664","2,00000","5.121,00000","2,00000","1.723,00000","6.505,00000","0,00116","0,00365","0,00650","0,00395","7.574,00000","8,00000","145,00000","1.205,00000","0,00807","0,00454"
0,"1.705,00000","1.258,00000","6.186,00000","2,00000","25,00000","66,00000","435,00000","36,00000","1.033,00000","37,00000","1.313,00000","17,78058","0,01354","0,00397","0,00669","1,00000","6.116,00000","2,00000","1.957,00000","7.024,00000","0,00108","0,00383","0,00476","0,00503","9.460,00000","10,00000","161,00000","1.126,00000","0,00664","0,00462"
0,"1.702,00000","1.021,00000","6.375,00000","1,00000","26,00000","68,00000","448,00000","37,00000","1.020,00000","39,00000","1.284,00000","17,53056","0,01408","0,00397","0,00670","1,00000","5.558,00000","2,00000","2.016,00000","7.149,00000","0,00107","0,00347","0,00572","0,00314","8.026,00000","9,00000","143,00000","1.270,00000","0,00560","0,00462"
0,"1.784,00000","934,00000","5.568,00000","1,00000","20,00000","60,00000","391,00000","31,00000","1.080,00000","32,00000","1.418,00000","31,32898","0,01183","0,00397","0,00665","1,00000","4.949,00000","2,00000","1.766,00000","6.602,00000","0,00115","0,00396","0,00582","0,00380","7.646,00000","11,00000","149,00000","1.188,00000","0,00790","0,00472"
0,"1.782,00000","1.316,00000","5.854,00000","1,00000","22,00000","63,00000","411,00000","33,00000","1.057,00000","35,00000","1.367,00000","30,45413","0,01262","0,00397","0,00667","1,00000","4.919,00000","2,00000","1.855,00000","6.799,00000","0,00113","0,00425","0,00489","0,00481","6.243,00000","13,00000","193,00000","1.327,00000","0,00756","0,00472"
0,"1.782,00000","1.316,00000","5.854,00000","1,00000","22,00000","63,00000","411,00000","33,00000","1.057,00000","35,00000","1.367,00000","16,56516","0,01262","0,00397","0,00667","1,00000","4.622,00000","2,00000","1.855,00000","6.799,00000","0,00113","0,00425","0,00454","0,00630","8.104,00000","13,00000","161,00000","1.327,00000","0,00756","0,00472"
0,"1.781,00000","956,00000","5.512,00000","1,00000","19,00000","59,00000","387,00000","30,00000","1.085,00000","32,00000","1.429,00000","20,19742","0,01168","0,00397","0,00665","1,00000","4.882,00000","2,00000","1.749,00000","6.563,00000","0,00116","0,00433","0,00337","0,00337","9.013,00000","11,00000","169,00000","1.192,00000","0,00798","0,00472"
0,"1.773,00000","1.407,00000","5.825,00000","1,00000","22,00000","62,00000","409,00000","33,00000","1.060,00000","34,00000","1.372,00000","21,37450","0,01254","0,00397","0,00667","1,00000","4.915,00000","2,00000","1.846,00000","6.779,00000","0,00113","0,00394","0,00450","0,00443","4.994,00000","14,00000","131,00000","1.327,00000","0,00756","0,00472"
0,"1.773,00000","1.407,00000","5.825,00000","1,00000","22,00000","62,00000","409,00000","33,00000","1.060,00000","34,00000","1.372,00000","23,26998","0,01254","0,00397","0,00667","1,00000","4.915,00000","2,00000","1.846,00000","6.779,00000","0,00113","0,00394","0,00634","0,00479","6.943,00000","14,00000","122,00000","1.327,00000","0,00756","0,00472"
0,"1.734,00000","1.288,00000","5.796,00000","1,00000","21,00000","62,00000","407,00000","33,00000","1.062,00000","34,00000","1.377,00000","18,03416","0,01246","0,00397","0,00667","1,00000","4.882,00000","2,00000","1.837,00000","6.759,00000","0,00113","0,00362","0,00494","0,00366","6.006,00000","13,00000","147,00000","898,00000","0,00760","0,00472"
